customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,churn
CUST_00325,52,60.9,3142.17,Month-to-Month,Credit Card,DSL,No,0
CUST_00326,42,97.19,4107.66,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00327,70,21.22,1508.49,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00328,15,79.84,1176.57,Month-to-Month,Mailed Check,Fiber Optic,No,1
CUST_00329,54,76.55,4125.46,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00330,60,91.62,5503.57,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00331,8,79.9,634.73,Two-Year,Electronic Check,Fiber Optic,No internet service,1
CUST_00332,53,102.68,5413.25,Month-to-Month,Bank Transfer,Fiber Optic,No,0
CUST_00333,60,115.91,6944.58,One-Year,Mailed Check,Fiber Optic,No,0
CUST_00334,5,54.25,300.53,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00335,68,42.74,2897.14,Month-to-Month,Electronic Check,DSL,No,0
CUST_00336,6,62.36,,One-Year,Mailed Check,Fiber Optic,No,0
CUST_00337,47,48.79,2276.09,Month-to-Month,Credit Card,DSL,No internet service,1
CUST_00338,55,81.5,4491.04,Month-to-Month,Electronic Check,No,No,1
CUST_00339,40,111.19,4449.14,One-Year,Bank Transfer,Fiber Optic,No internet service,1
CUST_00340,52,33.91,1752.27,One-Year,Mailed Check,Fiber Optic,No internet service,0
CUST_00341,16,30.08,461.7,Month-to-Month,Credit Card,No,No,0
CUST_00342,13,45.6,613.89,Month-to-Month,Electronic Check,DSL,Yes,0
CUST_00343,30,92.61,2754.2,One-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00344,19,79.3,1514.19,Month-to-Month,Bank Transfer,DSL,No,1
CUST_00345,17,30.22,481.45,One-Year,Credit Card,No,Yes,0
CUST_00346,63,111.88,7058.74,One-Year,Bank Transfer,DSL,No internet service,1
CUST_00347,19,99.01,1895.72,Two-Year,Bank Transfer,Fiber Optic,No internet service,1
CUST_00348,58,22.3,1309.95,Month-to-Month,Credit Card,No,No,1
CUST_00349,55,85.14,4680.1,Two-Year,Credit Card,DSL,Yes,0
CUST_00350,62,97.12,6045.49,Month-to-Month,Credit Card,DSL,Yes,1
CUST_00351,23,57.44,1355.82,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00352,9,26.89,237.21,Month-to-Month,Credit Card,Fiber Optic,No,1
CUST_00353,12,27.73,326.02,One-Year,Electronic Check,DSL,Yes,1
CUST_00354,1,30.42,32.66,Month-to-Month,Bank Transfer,DSL,No,0
CUST_00355,58,104.04,6027.38,Month-to-Month,Mailed Check,DSL,Yes,0
CUST_00356,1,111.07,101.71,Month-to-Month,Credit Card,No,No internet service,0
CUST_00357,34,32.28,1089.51,Two-Year,Mailed Check,Fiber Optic,No internet service,0
CUST_00358,48,43.59,2118.09,One-Year,Credit Card,DSL,No,0
CUST_00359,1,36.55,48.13,One-Year,Mailed Check,DSL,No internet service,0
CUST_00360,16,38.63,610.9,Month-to-Month,Bank Transfer,DSL,Yes,1
CUST_00361,61,103.75,6291.87,Month-to-Month,Bank Transfer,DSL,No internet service,1
CUST_00362,64,53.21,3382.57,One-Year,Electronic Check,Fiber Optic,No,0
CUST_00363,63,51.14,3229.65,Month-to-Month,Electronic Check,DSL,No,1
CUST_00364,69,42.74,,Month-to-Month,Credit Card,DSL,No,1
CUST_00365,22,80.79,1781.76,One-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00366,67,57.93,3865.36,Two-Year,Mailed Check,DSL,Yes,0
CUST_00367,26,94.42,2456.43,One-Year,Mailed Check,Fiber Optic,Yes,1
CUST_00368,16,40.56,649.89,One-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00369,51,98.78,5039.54,Two-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00370,57,80.37,4575.3,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00371,29,31.43,904.97,One-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00372,69,61.45,4229.27,Two-Year,Electronic Check,No,Yes,0
CUST_00373,47,106.35,5005.79,Month-to-Month,Credit Card,Fiber Optic,No internet service,1
CUST_00374,62,112.3,6974.43,One-Year,Mailed Check,Fiber Optic,Yes,1
CUST_00375,69,66.57,4575.05,One-Year,Mailed Check,Fiber Optic,No,0
CUST_00376,16,68.08,1088.56,One-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00377,48,111.85,5371.53,One-Year,Credit Card,DSL,Yes,0
CUST_00378,39,78.71,3072.32,Two-Year,Bank Transfer,DSL,No,0
CUST_00379,33,23.28,770.9,One-Year,Credit Card,DSL,No,1
CUST_00380,23,111.27,2553.29,Month-to-Month,Mailed Check,No,No,1
CUST_00381,10,44.82,452.41,Two-Year,Electronic Check,Fiber Optic,No,0
CUST_00382,69,77.76,5374.93,Month-to-Month,Electronic Check,No,Yes,1
CUST_00383,34,36.55,1244.86,Month-to-Month,Electronic Check,Fiber Optic,No,0
CUST_00384,52,23.39,1223.76,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00385,10,51.15,526.33,Month-to-Month,Electronic Check,DSL,No internet service,1
CUST_00386,19,98.05,1835.18,Month-to-Month,Bank Transfer,Fiber Optic,No,1
CUST_00387,58,47.76,2784.16,Two-Year,Credit Card,Fiber Optic,No,0
CUST_00388,1,42.01,47.15,One-Year,Mailed Check,No,No internet service,1
CUST_00389,69,41.27,2830.82,One-Year,Bank Transfer,DSL,No internet service,0
CUST_00390,4,71.52,298.11,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00391,16,117.55,1874.89,Two-Year,Electronic Check,Fiber Optic,No internet service,1
CUST_00392,24,65.9,1577.64,Two-Year,Credit Card,Fiber Optic,Yes,0
CUST_00393,2,75.73,143.85,One-Year,Credit Card,Fiber Optic,No internet service,0
CUST_00394,32,106.06,3398.56,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00395,24,73.51,1752.39,Month-to-Month,Electronic Check,DSL,Yes,0
CUST_00396,12,38.45,474.88,Month-to-Month,Electronic Check,Fiber Optic,No internet service,0
CUST_00397,50,49.96,2495.9,Month-to-Month,Mailed Check,Fiber Optic,Yes,0
CUST_00398,35,50.99,1779.32,Month-to-Month,Electronic Check,No,No internet service,1
CUST_00399,33,59.73,1982.44,Two-Year,Mailed Check,Fiber Optic,No,0
CUST_00400,33,62.68,2063.61,Month-to-Month,Electronic Check,DSL,No internet service,0
CUST_00401,61,99.98,6112.89,Month-to-Month,Mailed Check,DSL,Yes,0
CUST_00402,51,54.94,2816.57,Month-to-Month,Credit Card,No,No internet service,0
CUST_00403,43,66.82,2853.37,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00404,12,82.5,1006.61,Month-to-Month,Credit Card,No,Yes,1
CUST_00405,67,57.77,3848.83,Month-to-Month,Credit Card,DSL,No,0
CUST_00406,65,103.66,6755.24,Month-to-Month,Electronic Check,Fiber Optic,No,0
CUST_00407,33,78.75,2629.02,One-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00408,40,49.4,1989.3,Two-Year,Bank Transfer,No,No internet service,0
CUST_00409,43,91.41,3898.1,Month-to-Month,Electronic Check,DSL,Yes,0
CUST_00410,44,72.76,3217.6,Month-to-Month,Electronic Check,Fiber Optic,Yes,0
CUST_00411,29,73.45,2163.61,Two-Year,Electronic Check,Fiber Optic,No internet service,0
CUST_00412,13,68.11,,Month-to-Month,Credit Card,DSL,No internet service,1
CUST_00413,12,69.7,835.89,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00414,46,96.54,4422.81,Two-Year,Mailed Check,Fiber Optic,No internet service,0
CUST_00415,2,30.3,65.28,Month-to-Month,Bank Transfer,No,Yes,0
CUST_00416,35,53.44,1889.31,One-Year,Mailed Check,Fiber Optic,Yes,1
CUST_00417,8,27.55,230.87,One-Year,Mailed Check,DSL,No,1
CUST_00418,26,95.32,2525.57,Month-to-Month,Electronic Check,DSL,Yes,0
CUST_00419,34,47.23,1606.32,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00420,7,109.74,743.74,One-Year,Credit Card,DSL,No,0
CUST_00421,68,72.66,4943.3,Month-to-Month,Electronic Check,Fiber Optic,No internet service,0
CUST_00422,58,100.07,5768.1,Month-to-Month,Electronic Check,DSL,Yes,0
CUST_00423,29,117.89,3410.9,One-Year,Electronic Check,No,No,0
CUST_00424,36,103.98,3767.61,Month-to-Month,Electronic Check,No,No internet service,1
CUST_00425,21,106.7,2245.56,Month-to-Month,Credit Card,Fiber Optic,No,1
CUST_00426,36,60.8,2191.44,Two-Year,Electronic Check,No,No,0
CUST_00427,10,75.17,,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00428,24,45.39,1085.27,Two-Year,Bank Transfer,Fiber Optic,No internet service,1
CUST_00429,64,39.61,2554.05,One-Year,Bank Transfer,DSL,No,0
CUST_00430,49,70.55,3458.93,One-Year,Bank Transfer,Fiber Optic,No,0
CUST_00431,36,79.5,2867.88,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00432,24,53.93,1275.99,Two-Year,Bank Transfer,No,No,1
CUST_00433,23,76.94,1762.49,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00434,62,108.75,6721.29,One-Year,Credit Card,No,No,0
CUST_00435,37,75.67,2798.44,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00436,12,92.08,1110.83,Month-to-Month,Mailed Check,DSL,No internet service,0
CUST_00437,55,100.53,5512.58,Month-to-Month,Bank Transfer,No,No internet service,0
CUST_00438,13,118.87,1576.09,Two-Year,Bank Transfer,Fiber Optic,No internet service,0
CUST_00439,23,80.32,1851.53,Two-Year,Electronic Check,DSL,Yes,1
CUST_00440,30,100.69,3021.42,Month-to-Month,Bank Transfer,Fiber Optic,No,1
CUST_00441,17,116.26,1988.05,Month-to-Month,Mailed Check,DSL,No internet service,0
CUST_00442,62,114.44,7082.91,One-Year,Electronic Check,Fiber Optic,No,0
CUST_00443,13,34.11,445.86,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00444,59,60.64,3566.96,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00445,19,52.4,1018.96,One-Year,Credit Card,No,No internet service,0
CUST_00446,49,28.69,1390.05,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,0
CUST_00447,12,83.32,1000.84,Two-Year,Credit Card,DSL,No,1
CUST_00448,61,93.59,5713.96,Month-to-Month,Credit Card,Fiber Optic,No internet service,0
CUST_00449,19,104.81,1997.37,Month-to-Month,Credit Card,No,No,1
CUST_00450,9,32.28,281.78,Month-to-Month,Electronic Check,DSL,No,1
CUST_00451,71,107.64,7629.32,One-Year,Electronic Check,DSL,Yes,0
CUST_00452,28,84.29,2351.69,Month-to-Month,Electronic Check,DSL,Yes,1
CUST_00453,52,90.39,4708.44,One-Year,Credit Card,DSL,Yes,0
CUST_00454,16,111.06,1774.84,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00455,69,82.48,5702.8,Two-Year,Credit Card,Fiber Optic,No internet service,0
CUST_00456,12,53.59,650.19,Month-to-Month,Electronic Check,DSL,Yes,0
CUST_00457,25,102.51,2528.61,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00458,52,56.31,2931.62,One-Year,Mailed Check,DSL,Yes,0
CUST_00459,53,23.42,,Month-to-Month,Bank Transfer,No,Yes,1
CUST_00460,23,103.07,2390.38,Month-to-Month,Credit Card,No,No,1
CUST_00461,16,54.52,878.64,Two-Year,Mailed Check,DSL,Yes,0
CUST_00462,57,97.38,5534.97,Month-to-Month,Electronic Check,No,Yes,1
CUST_00463,39,56.28,2201.92,One-Year,Credit Card,Fiber Optic,No,0
CUST_00464,53,106.11,5634.76,Month-to-Month,Electronic Check,DSL,No internet service,0
CUST_00465,42,41.95,1758.14,One-Year,Bank Transfer,DSL,Yes,1
CUST_00466,58,117.45,6817.13,Month-to-Month,Mailed Check,Fiber Optic,No,1
CUST_00467,39,97.98,3843.7,Month-to-Month,Bank Transfer,Fiber Optic,Yes,1
CUST_00468,14,31.42,427.07,Two-Year,Mailed Check,No,No,1
CUST_00469,5,76.58,367.01,One-Year,Electronic Check,Fiber Optic,No internet service,0
CUST_00470,35,118.54,4159.18,Month-to-Month,Bank Transfer,No,No internet service,1
CUST_00471,18,67.11,1214.78,Month-to-Month,Bank Transfer,Fiber Optic,No,1
CUST_00472,9,38.21,359.33,Two-Year,Electronic Check,Fiber Optic,No,0
CUST_00473,58,68.48,3980.26,Month-to-Month,?,Fiber Optic,No,1
CUST_00474,17,71.25,1202.66,One-Year,Credit Card,DSL,No internet service,0
CUST_00475,7,94.17,665.66,One-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00476,46,89.88,4117.56,Month-to-Month,Mailed Check,Fiber Optic,No internet service,0
CUST_00477,13,60.26,779.56,Month-to-Month,Mailed Check,DSL,No,0
CUST_00478,40,41.8,1679.63,One-Year,Credit Card,Fiber Optic,No,0
CUST_00479,42,84.51,3543.82,Month-to-Month,Mailed Check,DSL,No internet service,1
CUST_00480,9,62.17,596.55,Month-to-Month,Electronic Check,Fiber Optic,No,0
CUST_00481,50,33.23,1633.0,Two-Year,Bank Transfer,Fiber Optic,No internet service,0
CUST_00482,27,110.06,2963.33,One-Year,Credit Card,DSL,No,1
CUST_00483,66,89.12,5868.0,One-Year,Mailed Check,DSL,Yes,0
CUST_00484,5,88.32,431.09,One-Year,Electronic Check,Fiber Optic,Yes,1
CUST_00485,29,102.26,2955.85,One-Year,Bank Transfer,No,No,0
CUST_00486,37,72.97,2679.85,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00487,38,101.51,3868.5,Month-to-Month,Credit Card,No,Yes,0
CUST_00488,8,69.81,550.27,Month-to-Month,Credit Card,DSL,No internet service,1
CUST_00489,65,26.72,1739.09,Month-to-Month,Credit Card,No,No,0
CUST_00490,17,60.52,1022.4,One-Year,Electronic Check,No,No internet service,1
CUST_00491,71,69.75,4941.64,Month-to-Month,Electronic Check,Fiber Optic,Yes,1
CUST_00492,45,92.02,4166.0,Month-to-Month,Credit Card,Fiber Optic,No internet service,0
CUST_00493,4,30.66,136.48,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00494,36,34.0,1196.04,Month-to-Month,Bank Transfer,Fiber Optic,No,0
CUST_00495,70,46.37,3216.17,Month-to-Month,Bank Transfer,DSL,No,1
CUST_00496,31,46.65,1461.78,Month-to-Month,Electronic Check,DSL,No,1
CUST_00497,19,93.22,1763.35,Month-to-Month,Bank Transfer,DSL,Yes,1
CUST_00498,61,45.07,2724.72,Month-to-Month,Mailed Check,Fiber Optic,Yes,0
CUST_00499,54,83.31,4514.42,Month-to-Month,Bank Transfer,DSL,No,1
